QC,Received,Location,Source,m.Body,v.Sperm,l.Sperm,t.Sperm,w.Head,w.Thorax,d.Spermatheca,f.Spermatheca,pheno_id,date,year,loc.fix,gc_id,loc.year
QC 2467,44617,Hawaii,A,210.5,0.898333333333333,6956666.66666667,7666666.66666667,3.80397727272727,4.83806818181818,1.2570047114093,0.709943078877831,QC2467,2022-02-25,2022,HI,QC2467,HI2022
QC 2471,44617,Hawaii,A,176.8,0.838666666666667,2490000,2933333.33333333,3.85227272727273,5.02840909090909,1.26131780052224,0.268853384357689,QC2471,2022-02-25,2022,HI,QC2471,HI2022
QC 2491,44636,Georgia,B,218.6,0.823666666666667,7503333.33333333,9050000,3.97443181818182,5.06534090909091,1.28247342747099,0.789098318260634,QC2491,2022-03-16,2022,GA,QC2491,GA2022
QC 2493,44636,Georgia,B,217.8,0.863333333333333,4413333.33333333,5100000,3.94318181818182,5.04545454545455,1.25250859415047,0.477370631903048,QC2493,2022-03-16,2022,GA,QC2493,GA2022
QC 2519,44663,Southern California,C,240.2,0.856333333333333,4930000,5723333.33333333,3.83806818181818,5.04829545454545,1.28705249738605,0.493728185290177,QC2519,2022-04-12,2022,CA,QC2519,CA2022
QC 2520,44663,Southern California,C,181.7,0.871,7870000,9083333.33333333,3.79261363636364,4.82670454545455,1.27830005673163,0.79978727887752,QC2520,2022-04-12,2022,CA,QC2520,CA2022
QC 2546,44671,Hawaii,D,199.6,0.902333333333333,4456666.66666667,4963333.33333333,3.55124653739612,4.85595567867036,1.10533310738956,0.675960895605809,QC2546,2022-04-20,2022,HI,QC2546,HI2022
QC 2547,44671,Hawaii,D,217.7,0.187333333333333,604000,3333333.33333333,3.69252077562327,4.92520775623269,1.16340032124251,0.389330898424404,QC2547,2022-04-20,2022,HI,QC2547,HI2022
QC 2573,44678,Southern California,C,243.7,0.126,244000,2469000,3.91135734072022,5.1191135734072,1.25896437639695,0.227566552491013,QC2573,2022-04-27,2022,CA,QC2573,CA2022
QC 2579,44678,Southern California,C,246.6,0.905666666666667,5640000,6243333.33333333,3.88919667590028,4.97783933518006,1.25475899399748,0.581250360728628,QC2579,2022-04-27,2022,CA,QC2579,CA2022
QC 2583,44678,Southern California,C,224.7,0.633666666666667,520000,849333.333333333,4.03047091412742,4.93905817174515,1.23314472406462,0.0833035839339075,QC2583,2022-04-27,2022,CA,QC2583,CA2022
QC 2919,45065,Hawaii,E,182.7,0.776,5500000,7113333.33333333,3.78527607361963,4.8159509202454,1.1657700973173,0.825775686172095,QC2919,2023-05-19,2023,HI,QC2919,HI2023
QC 2920,45065,Hawaii,E,186.2,0.343285714285714,3454285.71428571,4382857.14285714,3.77300613496933,4.88343558282209,1.12901603383319,0.560124605625921,QC2920,2023-05-19,2023,HI,QC2920,HI2023
QC 2971,45083,Minnesota,F,190.7,0.833333333333333,3353333.33333333,3986666.66666667,3.69886363636364,4.73863636363636,1.30392813494792,0.330732307595155,QC2971,2023-06-06,2023,MN,QC2971,MN2023
QC 2982,45083,Minnesota,F,182.5,0.575,522666.666666667,911333.333333333,3.96022727272727,4.78977272727273,1.18439839597688,0.100881490139925,QC2982,2023-06-06,2023,MN,QC2982,MN2023
QC 2983,45085,Hawaii,D,186.4,0.793,7753333.33333333,9733333.33333333,3.92592592592593,5.19753086419753,1.21526083635118,0.997426160197607,QC2983,2023-06-08,2023,HI,QC2983,HI2023
QC 2990,45085,Hawaii,D,143.3,0.811333333333333,3600000,4436666.66666667,3.87037037037037,4.77160493827161,1.21611885309033,0.453687069672615,QC2990,2023-06-08,2023,HI,QC2990,HI2023
QC 3013,45090,Georgia,G,237,0.86725,9455000,10927500,3.71428571428571,4.86285714285714,1.35131956411904,0.814468489257914,QC3013,2023-06-13,2023,GA,QC3013,GA2023
