SRR	DOGANTID	country	lineage
SRR14703777	Anatoli_714	Turkey	O
SRR14703778	Anatoli_713	Turkey	O
SRR14703779	Anatoli_501	Turkey	O
SRR14703780	Anatoli_500	Turkey	O
SRR14703781	Anatoli_498	Turkey	O
SRR14703782	Anatoli_496	Turkey	O
SRR14703783	Anatoli_493	Turkey	O
SRR14703784	Amont_6	Kenya	A
SRR14703785	Acap_177A	South Africa	A
SRR14703786	Amont_5	Kenya	A
SRR14703787	Amont_4	Kenya	A
SRR14703788	Amont_3	Kenya	A
SRR14703789	Amont_2	Kenya	A
SRR14703790	Amont_1	Kenya	A
SRR14703791	Amel_720	France	M
SRR14703792	Amel_716	France	M
SRR14703793	Amel_715	France	M
SRR14703794	Amel_477	France	M
SRR14703795	Amel_470	France	M
SRR14703796	Aada_se401	Senegal	A
SRR14703797	Aligui_793	Italy	C
SRR14703798	Aligui_792	Italy	C
SRR14703799	Aligui_789	Italy	C
SRR14703800	Aligui_788	Italy	C
SRR14703801	Aligui_784	Italy	C
SRR14703802	Aligui_782	Italy	C
SRR14703803	Alamark979	Egypt	L
SRR14703804	Alamark976	Egypt	L
SRR14703805	Alamark975	Egypt	L
SRR14703806	Alamark974	Egypt	L
SRR14703807	Aada_bur9	Burkina Faso	A
SRR14703808	Alamark973	Egypt	L
SRR14703809	Alamark972	Egypt	L
SRR14703810	Alamark971	Egypt	L
SRR14703811	Alamark970	Egypt	L
SRR14703812	Alamark6	Kenya	A
SRR14703813	Alamark5	Kenya	A
SRR14703814	Alamark4	Kenya	A
SRR14703815	Alamark32_S30	Egypt	L
SRR14703816	Alamark31_S29	Egypt	L
SRR14703817	Alamark3	Kenya	A
SRR14703818	Aada_bur8	Burkina Faso	A
SRR14703819	Alamark22_S28	Egypt	L
SRR14703820	Alamark21_S27	Egypt	L
SRR14703821	Alamark2	Kenya	A
SRR14703822	Alamark12_S26	Egypt	L
SRR14703823	Alamark11_S25	Egypt	L
SRR14703824	Alamark1	Kenya	A
SRR14703825	Aint_mo83	Morocco	A
SRR14703826	Aint_mo82	Morocco	A
SRR14703827	Aint_mo46	Morocco	A
SRR14703828	Aint_mo43	Morocco	A
SRR14703829	Aada_bur7	Burkina Faso	A
SRR14703830	Aint_mo42	Morocco	A
SRR14703831	Aint_mo40	Morocco	A
SRR14703832	Aint_mo29	Morocco	A
SRR14703833	Aint_918	Morocco	A
SRR14703834	Aint_916	Morocco	A
SRR14703835	Aint_915	Morocco	A
SRR14703836	Aint_914	Morocco	A
SRR14703837	Aint_908	Morocco	A
